Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
202201903,Ava's Demon Book Two: Aftermath,Michelle Fus,"Fus, Michelle",,"=""153439852X""","=""9781534398528""",3,4.43,Image Comics,Paperback,336,2024,2015,2024/11/30,2024/11/28,,,read,,,,1,0
9858081,"The Code of the Woosters (Jeeves, #7)",P.G. Wodehouse,"Wodehouse, P.G.",,"=""0393339815""","=""9780393339819""",0,4.32,W. W. Norton & Company,Paperback,272,2011,1938,,2024/11/29,to-read,to-read (#24),to-read,,,,0,0
20170404,Station Eleven,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0385353308""","=""9780385353304""",4,4.07,Knopf,Hardcover,333,2014,2014,2024/11/29,2024/11/28,,,read,,,,1,0
79501617,Ava's Demon Book 1: Reborn,Michelle Fus,"Fus, Michelle",,"=""1534324380""","=""9781534324381""",3,4.31,Image Comics,Paperback,288,2023,2012,2024/11/28,2024/11/25,,,read,,,,1,0
30233621,A City Inside,Tillie Walden,"Walden, Tillie",,"=""191039520X""","=""9781910395202""",0,3.90,Avery Hill Publishing,Paperback,56,2016,2016,,2024/11/26,to-read,to-read (#23),to-read,,,,0,0
337907,House of Leaves,Mark Z. Danielewski,"Danielewski, Mark Z.",,"=""""","=""""",4,4.09,Pantheon Books,Paperback,709,2000,2000,2024/11/17,2024/08/17,,,read,,,,1,0
18423,The Left Hand of Darkness,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",0,4.10,Ace,Paperback,304,2000,1969,,2024/10/10,to-read,to-read (#22),to-read,,,,0,0
17333324,"Ancillary Justice (Imperial Radch, #1)",Ann Leckie,"Leckie, Ann",,"=""""","=""""",0,3.99,Orbit,Paperback,386,2013,2013,,2024/10/10,to-read,to-read (#21),to-read,,,,0,0
5148,A Separate Peace,John Knowles,"Knowles, John",David Levithan,"=""""","=""""",0,3.60,Scribner,Paperback,208,2003,1959,,2024/10/04,to-read,to-read (#20),to-read,,,,0,0
14201,Jonathan Strange & Mr Norrell,Susanna Clarke,"Clarke, Susanna",,"=""""","=""""",0,3.87,Tor Books,Paperback,1006,2006,2004,,2024/09/25,to-read,to-read (#19),to-read,,,,0,0
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""075640407X""","=""9780756404079""",4,4.52,Penguin Group DAW,Hardcover,662,2007,2007,2024/08/16,2024/08/10,,,read,,,,1,0
829313,Miles: The Autobiography,Miles Davis,"Davis, Miles",Quincy Troupe,"=""0671725823""","=""9780671725822""",4,4.21,Simon & Schuster,Paperback,448,1990,1989,2024/08/05,2024/07/20,,,read,,,,1,0
56179360,Light from Uncommon Stars,Ryka Aoki,"Aoki, Ryka",,"=""1250789060""","=""9781250789068""",0,4.05,Tor Books,Hardcover,372,2021,2021,,2024/07/17,to-read,to-read (#18),to-read,,,,0,0
123163147,The Future,Naomi Alderman,"Alderman, Naomi",,"=""166802568X""","=""9781668025680""",0,3.85,Simon & Schuster,Hardcover,432,2023,2023,,2024/07/17,to-read,to-read (#17),to-read,,,,0,0
59366182,Everyone in This Room Will Someday Be Dead,Emily R. Austin,"Austin, Emily R.",,"=""198216736X""","=""9781982167363""",3,3.85,Washington Square Press,Paperback,256,2022,2021,2024/07/09,2024/06/16,,,read,,,,1,0
426504,Ficciones,Jorge Luis Borges,"Borges, Jorge Luis","Anthony Kerrigan, Anthony Bonner","=""0802130305""","=""9780802130303""",2,4.41,Grove Press,Paperback,174,1994,1944,2024/06/14,2024/06/06,,,read,,,,1,0
50892360,"Black Sun (Between Earth and Sky, #1)",Rebecca Roanhorse,"Roanhorse, Rebecca",,"=""1534437673""","=""9781534437678""",0,4.18,Saga Press,Hardcover,454,2020,2020,,2024/06/04,to-read,to-read (#16),to-read,,,,0,0
22343908,"Usagi Yojimbo Saga, Vol. 1",Stan Sakai,"Sakai, Stan",,"=""1616556099""","=""9781616556099""",4,4.57,Dark Horse Books,Paperback,616,2014,2014,2024/06/01,2024/05/30,,,read,,,,1,0
32718027,"The City of Brass (The Daevabad Trilogy, #1)",S.A. Chakraborty,"Chakraborty, S.A.",,"=""0062678108""","=""9780062678102""",4,4.14,Harper Voyager,Hardcover,532,2017,2017,2024/05/29,2024/05/18,,,read,,,,1,0
1358538,Smoke and Mirrors: Short Fictions and Illusions,Neil Gaiman,"Gaiman, Neil",,"=""0061450162""","=""9780061450167""",3,4.01,Harper Perennial,Paperback,339,2008,1998,2024/05/07,2023/10/04,,,read,"Lots of good stuff, especially ""Wedding Present"" and the second half of ""Murder Mysteries,"" but lots of dullness. What happened to the guy who wrote American Gods??",,,1,0
29800,"Scott Pilgrim's Precious Little Life (Scott Pilgrim, #1)",Bryan Lee O'Malley,"O'Malley, Bryan Lee",,"=""""","=""9781932664089""",3,4.19,Oni Press,Paperback,168,2004,2004,2024/04/11,2024/04/06,,,read,,,,1,0
11828537,Cat's Cradle,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""""","=""""",4,4.15,Dial Press,Paperback,287,2010,1963,2024/03/16,2024/03/10,,,read,,,,1,0
225468,Industrial Society and Its Future,Theodore John Kaczynski,"Kaczynski, Theodore John",,"=""""","=""""",3,3.85,,Paperback,149,1995,1995,2024/02/19,2024/02/17,,,read,,,,1,0
2525182,Life of Galileo (Penguin Classics),Bertolt Brecht,"Brecht, Bertolt","John Willett, Ralph Manheim, Norman Roessler","=""0143105388""","=""9780143105381""",3,3.66,Penguin Classics,Paperback,304,2008,1943,2024/01/28,2024/01/23,,,read,,,,1,0
55575967,"Chainsaw Man, Vol. 1: Dog and Chainsaw",Tatsuki Fujimoto,"Fujimoto, Tatsuki",,"=""""","=""""",2,4.37,VIZ Media: SHONEN JUMP,Kindle Edition,192,2020,2019,2024/01/22,2024/01/21,,,read,,,,1,0
17692,The Trial,Franz Kafka,"Kafka, Franz",Breon Mitchell,"=""0805209999""","=""9780805209990""",4,3.95,Schocken Books,Paperback,276,1999,1925,2024/01/18,2023/12/31,,,read,,,,1,0
100021,What Does It All Mean? A Very Short Introduction to Philosophy,Thomas Nagel,"Nagel, Thomas",,"=""0195052161""","=""9780195052169""",3,3.62,Oxford University Press,Paperback,112,1987,1987,2023/12/06,2023/08/30,,,read,,,,1,0
20783618,Keeping Time: Readings in Jazz History,Robert  Walser,"Walser, Robert",,"=""0199765774""","=""9780199765775""",4,3.78,Oxford University Press,Paperback,456,2014,1998,2023/12/28,2023/05/08,,,read,"I'm finally done with this absolute brick of a book. Genius laying-out of essays from some of the greatest minds in jazz and music criticism from the 1910s to the 2010s. Dry, academic, slow as hell, but a powerful sense of being COMPLETE, all-encompassing.",,,1,0
9597,Player Piano,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385333781""","=""9780385333788""",4,3.90,Dial Press,Paperback,341,2006,1952,2023/11/26,2023/11/24,,,read,,,,1,0
1243415,High-Rise,J.G. Ballard,"Ballard, J.G.",,"=""0030206510""","=""9780030206511""",3,3.60,Henry Holt & Co,Hardcover,204,1977,1975,2023/10/22,2023/10/15,,,read,,,,1,0
246035,An Enemy of the People,Henrik Ibsen,"Ibsen, Henrik",,"=""1595406441""","=""9781595406446""",3,3.87,1st World Library,Paperback,160,2004,1882,2023/09/18,2023/09/18,,,read,,,,1,0
4711854,The Machine Stops,E.M. Forster,"Forster, E.M.",,"=""140990329X""","=""9781409903291""",4,4.07,Dodo Pr,Paperback,35,2008,1909,2023/08/14,2023/08/08,,,read,,,,1,0
